 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,44443E+12;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 204, BLOCO 22 ;220.000,00;220.000,00;0.00;Apartamento, 84.36 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425534970
8,44441E+12;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;RUA NELSON CAVAQUINHO, N. 312, Apto 21, ;223.000,00;223.000,00;0.00;Apartamento, 87.33 de área total, 68.32 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412963150
1,44441E+12;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;RUA BENEDITO COLLA (ANTIGA RUA 08), N. 181, LT 09 QD E ;1.034.000,00;1.034.000,00;0.00;Casa, 222.66 de área total, 222.66 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412467570
1,44441E+12;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 303, BL 46 VAGA N 569 ;228.000,00;228.000,00;0.00;Apartamento, 0.00 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414112191
8,78771E+12;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 15,  BL 10 ;167.000,00;167.000,00;0.00;Apartamento, 94.20 de área total, 44.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709307148
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 404, BL 25 VAGA N 525 ;170.700,00;170.700,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536214134
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, ;230.000,00;230.000,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538122199
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 403, 3º PAVIMENTO - BLOCO 03 ;187.000,00;187.000,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538163260
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, BL 31 VAGA N 567 ;193.000,00;193.000,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539174680
8,78771E+12;SP ;AMERICANA ;JARDIM DA BALSA I ;RUA RIO CANINDÉ, N. 55, Apto 24, 2 PAV BL F ;157.690,18;157.690,18;0.00;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705349938
8,78771E+12;SP ;AMERICANA ;JARDIM NOVA ALIANCA ;RUA VITOR BATISTA LOPES, N. 20, ;216.000,00;216.000,00;0.00;Casa, 51.12 de área total, 51.12 de área privativa, 228.06 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711123040
8,78771E+12;SP ;AMERICANA ;JARDIM NOVA ALIANCA ;RUA VITOR BATISTA LOPES, N. 157, LT 18 QD C ;246.500,00;246.500,00;0.00;Casa, 51.12 de área total, 51.12 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711148728
